x,y,z
-3.400000,-3.200000,
-3.300000,-3.200000,
-3.200000,-3.200000,
-3.100000,-3.200000,
-3.000000,-3.200000,
-2.900000,-3.200000,
-2.800000,-3.200000,
-2.700000,-3.200000,
-2.600000,-3.200000,
-2.500000,-3.200000,
-2.400000,-3.200000,
-2.300000,-3.200000,
-2.200000,-3.200000,
-2.100000,-3.200000,
-2.000000,-3.200000,
-1.900000,-3.200000,
-1.800000,-3.200000,
-1.700000,-3.200000,
-1.600000,-3.200000,
-1.500000,-3.200000,
-1.400000,-3.200000,
-1.300000,-3.200000,
-1.200000,-3.200000,
-1.100000,-3.200000,
-1.000000,-3.200000,
-0.900000,-3.200000,
-0.800000,-3.200000,
-0.700000,-3.200000,
-0.600000,-3.200000,
-0.500000,-3.200000,
-0.400000,-3.200000,0.842718
-0.300000,-3.200000,1.168992
-0.200000,-3.200000,1.380055
-0.100000,-3.200000,1.414214
0.000000,-3.200000,1.417745
0.100000,-3.200000,1.414214
0.200000,-3.200000,1.403567
0.300000,-3.200000,1.385641
0.400000,-3.200000,1.360147
0.500000,-3.200000,1.326650
0.600000,-3.200000,1.284523
0.700000,-3.200000,1.232883
0.800000,-3.200000,1.170470
0.900000,-3.200000,1.095445
1.000000,-3.200000,1.004988
1.100000,-3.200000,0.894427
1.200000,-3.200000,0.754983
1.300000,-3.200000,0.565685
1.400000,-3.200000,0.223607
1.500000,-3.200000,
1.600000,-3.200000,
1.700000,-3.200000,
1.800000,-3.200000,
1.900000,-3.200000,
2.000000,-3.200000,
2.100000,-3.200000,
2.200000,-3.200000,
2.300000,-3.200000,
2.400000,-3.200000,
2.500000,-3.200000,
2.600000,-3.200000,
2.700000,-3.200000,
2.800000,-3.200000,
2.900000,-3.200000,
3.000000,-3.200000,
3.100000,-3.200000,
3.200000,-3.200000,
3.300000,-3.200000,
3.400000,-3.200000,
3.500000,-3.200000,
-3.500000,-3.100000,
-3.400000,-3.100000,
-3.300000,-3.100000,
-3.200000,-3.100000,
-3.100000,-3.100000,
-3.000000,-3.100000,
-2.900000,-3.100000,
-2.800000,-3.100000,
-2.700000,-3.100000,
-2.600000,-3.100000,
-2.500000,-3.100000,
-2.400000,-3.100000,
-2.300000,-3.100000,
-2.200000,-3.100000,
-2.100000,-3.100000,
-2.000000,-3.100000,
-1.900000,-3.100000,
-1.800000,-3.100000,
-1.700000,-3.100000,
-1.600000,-3.100000,
-1.500000,-3.100000,
-1.400000,-3.100000,
-1.300000,-3.100000,
-1.200000,-3.100000,
-1.100000,-3.100000,
-1.000000,-3.100000,
-0.900000,-3.100000,
-0.800000,-3.100000,
-0.700000,-3.100000,
-0.600000,-3.100000,
-0.500000,-3.100000,-1.174731
-0.400000,-3.100000,0.790895
-0.300000,-3.100000,1.141244
-0.200000,-3.100000,1.358614
-0.100000,-3.100000,1.525033
0.000000,-3.100000,1.624808
0.100000,-3.100000,1.621727
0.200000,-3.100000,1.612452
0.300000,-3.100000,1.596872
0.400000,-3.100000,1.574802
0.500000,-3.100000,1.545962
0.600000,-3.100000,1.509967
0.700000,-3.100000,1.466288
0.800000,-3.100000,1.414214
0.900000,-3.100000,1.352775
1.000000,-3.100000,1.280625
1.100000,-3.100000,1.195826
1.200000,-3.100000,1.095445
1.300000,-3.100000,0.974679
1.400000,-3.100000,0.824621
1.500000,-3.100000,0.624500
1.600000,-3.100000,0.282843
1.700000,-3.100000,
1.800000,-3.100000,
1.900000,-3.100000,
2.000000,-3.100000,
2.100000,-3.100000,
2.200000,-3.100000,
2.300000,-3.100000,
2.400000,-3.100000,
2.500000,-3.100000,
2.600000,-3.100000,
2.700000,-3.100000,
2.800000,-3.100000,
2.900000,-3.100000,
3.000000,-3.100000,
3.100000,-3.100000,
3.200000,-3.100000,
3.300000,-3.100000,
3.400000,-3.100000,
3.500000,-3.100000,
-3.500000,-3.000000,
-3.400000,-3.000000,
-3.300000,-3.000000,
-3.200000,-3.000000,
-3.100000,-3.000000,
-3.000000,-3.000000,
-2.900000,-3.000000,
-2.800000,-3.000000,
-2.700000,-3.000000,
-2.600000,-3.000000,
-2.500000,-3.000000,
-2.400000,-3.000000,
-2.300000,-3.000000,
-2.200000,-3.000000,
-2.100000,-3.000000,
-2.000000,-3.000000,
-1.900000,-3.000000,
-1.800000,-3.000000,
-1.700000,-3.000000,
-1.600000,-3.000000,
-1.500000,-3.000000,
-1.400000,-3.000000,
-1.300000,-3.000000,
-1.200000,-3.000000,
-1.100000,-3.000000,
-1.000000,-3.000000,
-0.900000,-3.000000,
-0.800000,-3.000000,
-0.700000,-3.000000,
-0.600000,-3.000000,-1.226924
-0.500000,-3.000000,-0.915600
-0.400000,-3.000000,0.695384
-0.300000,-3.000000,1.097627
-0.200000,-3.000000,1.325608
-0.100000,-3.000000,1.497172
0.000000,-3.000000,1.636566
0.100000,-3.000000,1.753965
0.200000,-3.000000,1.791647
0.300000,-3.000000,1.777639
0.400000,-3.000000,1.757840
0.500000,-3.000000,1.732051
0.600000,-3.000000,1.700000
0.700000,-3.000000,1.661325
0.800000,-3.000000,1.615549
0.900000,-3.000000,1.562050
1.000000,-3.000000,1.500000
1.100000,-3.000000,1.428286
1.200000,-3.000000,1.345362
1.300000,-3.000000,1.249000
1.400000,-3.000000,1.135782
1.500000,-3.000000,1.000000
1.600000,-3.000000,0.830662
1.700000,-3.000000,0.600000
1.800000,-3.000000,0.100000
1.900000,-3.000000,
2.000000,-3.000000,
2.100000,-3.000000,
2.200000,-3.000000,
2.300000,-3.000000,
2.400000,-3.000000,
2.500000,-3.000000,
2.600000,-3.000000,
2.700000,-3.000000,
2.800000,-3.000000,
2.900000,-3.000000,
3.000000,-3.000000,
3.100000,-3.000000,
3.200000,-3.000000,
